Zeitstempel,Lernerfolg [Ich kann ein Buch zu einem Thema im Katalog plus der BLB finden und ausleihen.],Lernerfolg [Ich kann einen Artikel zu einem Thema im Katalog plus der BLB finden.],Lernerfolg [Ich finde mich im Gebäude der BLB zurecht.],"Lernerfolg [Was ich in dieser Schulung gelernt habe, ist für mich nützlich.]",Das fand ich für mich besonders wichtig! [Tipps zum Finden von Suchbegriffen mit dem Brockhaus],Das fand ich für mich besonders wichtig! [Finden von Büchern & Artikeln],Das fand ich für mich besonders wichtig! [Übungen zur Datenbank Statista],Das fand ich für mich besonders wichtig! [Rundgang durch die Bibliothek],Das fand ich für mich besonders wichtig! [Alles rund um Ausleihe und Benutzerkonto],Inhalte und Ablauf der Schulung [Der Ablauf der Schulung war für mich nachvollziehbar.],Inhalte und Ablauf der Schulung [Das selbständige Arbeiten mit Moodle hat mir gefallen.],Inhalte und Ablauf der Schulung [Die Aufgaben waren verständlich formuliert.],Inhalte und Ablauf der Schulung [Die Quizrunden haben mir gefallen.],Der Anspruch war für mich...,Die Dauer der Schulung war für mich...,Hier können Sie uns eine Note geben. ,Wollen Sie uns noch etwas mitteilen? ,Das fand ich für mich besonders wichtig! [Informationen zur Datenbank Statista]
11.01.2023 16:38:10,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,2,1 (trifft voll und ganz zu),,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu kurz,1,,2
11.01.2023 16:39:31,2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
11.01.2023 16:41:41,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
17.01.2023 16:06:53,3,3,3,3,3,3,,3,3,3,,3,3,gerade richtig,zu lang,2,nein,3
17.01.2023 16:07:24,2,2,2,2,1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
17.01.2023 16:07:57,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,2,1 (trifft voll und ganz zu),2,,3,3,2,,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,nö,1 (trifft voll und ganz zu)
17.01.2023 16:07:59,4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),,4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),,4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),bitte auswählen,bitte auswählen,5,,4 (trifft überhaupt nicht zu)
17.01.2023 16:08:10,2,2,3,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,zu lang,2,,1 (trifft voll und ganz zu)
17.01.2023 16:08:11,2,3,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,3,3,2,,4 (trifft überhaupt nicht zu),,bitte auswählen,bitte auswählen,4,:),1 (trifft voll und ganz zu)
17.01.2023 16:17:46,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,1,hat uns gefreut,1 (trifft voll und ganz zu)
