Zeitstempel,Lernerfolg [Ich kann ein Buch zu einem Thema im Katalog plus der BLB finden und ausleihen.],Lernerfolg [Ich kann einen Artikel zu einem Thema im Katalog plus der BLB finden.],Lernerfolg [Ich finde mich im Gebäude der BLB zurecht.],"Lernerfolg [Was ich in dieser Schulung gelernt habe, ist für mich nützlich.]",Das fand ich für mich besonders wichtig! [Tipps zum Finden von Suchbegriffen mit dem Brockhaus],Das fand ich für mich besonders wichtig! [Finden von Büchern & Artikeln],Das fand ich für mich besonders wichtig! [Übungen zur Datenbank Statista],Das fand ich für mich besonders wichtig! [Rundgang durch die Bibliothek],Das fand ich für mich besonders wichtig! [Alles rund um Ausleihe und Benutzerkonto],Inhalte und Ablauf der Schulung [Der Ablauf der Schulung war für mich nachvollziehbar.],Inhalte und Ablauf der Schulung [Das selbständige Arbeiten mit Moodle hat mir gefallen.],Inhalte und Ablauf der Schulung [Die Aufgaben waren verständlich formuliert.],Inhalte und Ablauf der Schulung [Die Quizrunden haben mir gefallen.],Der Anspruch war für mich...,Die Dauer der Schulung war für mich...,Hier können Sie uns eine Note geben. ,Wollen Sie uns noch etwas mitteilen? ,Das fand ich für mich besonders wichtig! [Informationen zur Datenbank Statista]
23.01.2023 11:47:50,2,2,2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
23.01.2023 11:47:53,1 (trifft voll und ganz zu),2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
23.01.2023 11:48:05,1 (trifft voll und ganz zu),2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,2,,1 (trifft voll und ganz zu)
23.01.2023 11:48:38,1 (trifft voll und ganz zu),4 (trifft überhaupt nicht zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
30.01.2023 11:24:42,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,2,,2,,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,zu lang,2,,1 (trifft voll und ganz zu)
30.01.2023 11:24:52,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,1 (trifft voll und ganz zu),2,,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
30.01.2023 11:25:55,2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,Sehr nette Beratung!,2
30.01.2023 11:26:05,2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,3,,1 (trifft voll und ganz zu)
30.01.2023 11:26:07,2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,,2,3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,B,1 (trifft voll und ganz zu)
30.01.2023 11:26:20,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,3,1 (trifft voll und ganz zu),,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,Die Leiterin war sehr nett und hat uns das Klo gezeigt,2
30.01.2023 11:27:01,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
30.01.2023 11:40:34,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
30.01.2023 11:40:42,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,2,1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,zu lang,3,nö,2
30.01.2023 11:40:49,2,2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,2,,1 (trifft voll und ganz zu)
30.01.2023 11:40:53,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,zu lang,2,nein,1 (trifft voll und ganz zu)
30.01.2023 11:41:05,2,2,2,2,3,2,,3,2,2,,2,3,zu leicht,zu lang,3,,2
30.01.2023 11:42:05,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,2,3,2,,2,2,2,,3,2,gerade richtig,gerade richtig,3,,3
30.01.2023 11:42:11,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,zu leicht,gerade richtig,2,war stramm ,1 (trifft voll und ganz zu)
30.01.2023 11:43:05,2,1 (trifft voll und ganz zu),3,2,2,2,,2,2,2,,3,2,gerade richtig,gerade richtig,3,Bei Gruppe 3 Artikel anstatt Aufsätze in die Fragestellung schreiben,2
31.01.2023 11:04:28,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,2,1 (trifft voll und ganz zu),,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,gerade richtig,2,,1 (trifft voll und ganz zu)
31.01.2023 11:04:32,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),zu leicht,gerade richtig,2,war supi,1 (trifft voll und ganz zu)
31.01.2023 11:04:59,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),zu schwer,gerade richtig,2,Die Frau Müller war eine sehr kompetente Anleitung!,1 (trifft voll und ganz zu)
31.01.2023 11:05:18,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
31.01.2023 11:05:22,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,Sheeeesh,1 (trifft voll und ganz zu)
31.01.2023 11:11:36,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,,1,,1 (trifft voll und ganz zu)
31.01.2023 11:11:56,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,2,,2,2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,2
31.01.2023 11:11:57,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,2
31.01.2023 11:11:59,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
31.01.2023 11:12:21,2,3,2,3,2,2,,2,4 (trifft überhaupt nicht zu),2,,2,1 (trifft voll und ganz zu),gerade richtig,zu lang,3,,4 (trifft überhaupt nicht zu)
31.01.2023 11:12:43,2,2,3,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,2,,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,3,,3
31.01.2023 16:35:28,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
31.01.2023 16:35:40,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,2
31.01.2023 16:35:43,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,3,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),zu leicht,zu lang,2,,2
31.01.2023 16:35:45,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,2
31.01.2023 16:35:49,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,2,1 (trifft voll und ganz zu),,2,2,2,,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
31.01.2023 16:35:53,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),4 (trifft überhaupt nicht zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,ich bin micha aka markus,4 (trifft überhaupt nicht zu)
31.01.2023 16:37:13,2,2,2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),bitte auswählen,,2,,2
31.01.2023 16:37:43,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,2,gute arbeit kollege,2
31.01.2023 16:37:50,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),,2,,2,3,gerade richtig,,1,"Die Schulung war sehr gut, ich werde in Zukunft öfter vorbeikommen!",1 (trifft voll und ganz zu)
31.01.2023 16:37:51,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,Dankeschön,1 (trifft voll und ganz zu)
01.02.2023 11:11:02,2,2,1 (trifft voll und ganz zu),2,2,,,1 (trifft voll und ganz zu),2,3,,3,2,zu leicht,gerade richtig,2,,2
01.02.2023 11:11:06,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,2,,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
01.02.2023 11:11:08,2,2,3,1 (trifft voll und ganz zu),2,3,,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
01.02.2023 11:11:14,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),4 (trifft überhaupt nicht zu),1 (trifft voll und ganz zu),,4 (trifft überhaupt nicht zu),3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,2,,1 (trifft voll und ganz zu)
01.02.2023 11:11:25,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,2,gerade richtig,gerade richtig,2,,2
01.02.2023 11:11:27,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,2,2,,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,2
01.02.2023 11:11:35,2,1 (trifft voll und ganz zu),3,2,3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,2
01.02.2023 11:11:50,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,2,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,nein,2
01.02.2023 11:12:18,2,3,4 (trifft überhaupt nicht zu),2,2,4 (trifft überhaupt nicht zu),,3,2,2,,2,2,gerade richtig,gerade richtig,3,,3
01.02.2023 11:12:30,1 (trifft voll und ganz zu),2,3,2,2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),3,,2,2,gerade richtig,,2,,2
01.02.2023 11:21:25,2,2,2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
01.02.2023 11:21:52,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
01.02.2023 11:22:18,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),zu leicht,gerade richtig,2,,1 (trifft voll und ganz zu)
01.02.2023 11:22:30,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,2,3,2,,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,,2
01.02.2023 11:23:09,2,2,3,3,3,2,,2,2,2,,3,2,gerade richtig,zu lang,3,,2
02.02.2023 11:08:50,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,2
02.02.2023 11:08:55,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,3,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
02.02.2023 11:08:58,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,zu lang,2,,2
02.02.2023 11:10:00,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,gerade richtig,1,,1 (trifft voll und ganz zu)
02.02.2023 11:10:37,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,3
02.02.2023 11:10:43,1 (trifft voll und ganz zu),2,2,3,2,1 (trifft voll und ganz zu),,2,3,2,,2,3,zu leicht,gerade richtig,3,,1 (trifft voll und ganz zu)
02.02.2023 11:10:47,2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,2,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
02.02.2023 11:11:01,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,Es war sehr informativ! Vielen Dank!,1 (trifft voll und ganz zu)
02.02.2023 11:11:06,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,3,4 (trifft überhaupt nicht zu),1 (trifft voll und ganz zu),,4 (trifft überhaupt nicht zu),3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,zu kurz,3,freundlicher und mehr geduld,1 (trifft voll und ganz zu)
02.02.2023 11:11:54,3,2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,es war schön hier,2
02.02.2023 11:11:58,2,2,3,2,1 (trifft voll und ganz zu),2,,2,2,2,,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,Super toll erklärt.,1 (trifft voll und ganz zu)
03.02.2023 16:17:41,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
06.02.2023 11:22:13,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,2
06.02.2023 11:22:20,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
06.02.2023 11:22:21,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,2,1 (trifft voll und ganz zu),,2,3,2,,2,3,gerade richtig,zu lang,3,Meine Antwort,1 (trifft voll und ganz zu)
06.02.2023 11:22:52,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,Meine Antwort : 10/10 would recommend,1 (trifft voll und ganz zu)
06.02.2023 11:23:25,2,1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),2,2,,2,2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,3
06.02.2023 11:23:36,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,Sehr gut!,2
06.02.2023 11:23:37,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,3,2,,2,3,gerade richtig,gerade richtig,3,,1 (trifft voll und ganz zu)
06.02.2023 11:23:38,2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
06.02.2023 16:29:06,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,zu lang,2,,2
06.02.2023 16:29:10,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
06.02.2023 16:29:32,2,2,3,1 (trifft voll und ganz zu),2,3,,3,2,2,,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
06.02.2023 16:29:47,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,3,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,sehr interessant gestaltet,1 (trifft voll und ganz zu)
06.02.2023 16:29:54,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,1 (trifft voll und ganz zu),2,,2,1 (trifft voll und ganz zu),zu leicht,gerade richtig,2,lädt...,1 (trifft voll und ganz zu)
06.02.2023 16:30:27,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),2,2,,2,1 (trifft voll und ganz zu),zu leicht,zu lang,2,Jo kann man machen,1 (trifft voll und ganz zu)
06.02.2023 16:30:38,2,2,1 (trifft voll und ganz zu),3,3,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,1 (trifft voll und ganz zu),gerade richtig,zu lang,2,Toiletten sind schwer zu finden und nicht sauber,3
07.02.2023 11:16:45,1 (trifft voll und ganz zu),2,2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,2,gerade richtig,gerade richtig,2,,2
07.02.2023 11:17:26,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,zu leicht,gerade richtig,2,,2
07.02.2023 11:17:27,2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,2,zu leicht,zu kurz,4,sehr gut,2
07.02.2023 11:17:29,2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
